city,total_margin,orders_count,lat,lon
Las Palmas de Gran Canaria,831.7016323808414,61,28.1117389404918,-15.448041016393443
San Cristóbal de La Laguna,442.67288749108684,24,28.471630788333332,-16.309262466666667
Santa Cruz de Tenerife,371.468627830417,23,28.449973546086955,-16.28114148130435
null,247.34845334717312,16,28.309680229999998,-16.628862635
Pedro Alvarez,223.45111107015683,5,28.520136709999996,-16.33500918
Vecindario,181.75865140485564,22,27.85544345,-15.46442177
Puerto del Rosario,154.02276676875806,11,28.497151809999995,-13.87494951
Pozo Izquierdo,142.60416577678808,7,27.83562446,-15.451089729999998
Mercalaspalmas,135.28712438306684,5,28.02941811,-15.4172311
Arrecife,111.46106987457321,14,28.98007171,-13.56183942
Barranco Hondo,107.56032122576536,5,28.39006238,-16.36728441
Ingenio,93.12051177218719,10,27.930631161999997,-15.43559151
Cabo Blanco,78.08394726477094,2,28.06722177,-16.66218605
El Calero,73.14073628315866,7,27.96923068,-15.42199825
Tafira Alta,64.59565485326101,6,28.05582566,-15.45255052
Castillo Caleta de Fuste,61.41958565919478,5,28.41431504,-13.87305007
La Pardilla,52.61978960279959,2,28.01097715,-15.39886294
La Herradura,48.97432293406768,3,27.99947476,-15.44144858
Oasis del Sur,41.90268148841424,2,28.03726462,-16.62006689
Agüimes,33.07493378972518,2,27.89884421,-15.467878
Playa Blanca,28.136930210649496,2,28.86724074,-13.83218128
Playa Honda,26.83749997895211,1,28.95686381,-13.59137065
Puerto de la Cruz,22.45971274938174,5,28.40750751,-16.5470934
Güímar,18.28619130464214,2,28.31396595,-16.43363505
Barrial,17.776059737081624,2,28.14694188,-15.68131167
Playa del Hombre,15.08399992436171,5,27.99103317,-15.382378710000001
Los Realejos,13.32499998388812,1,28.38905031,-16.58066244
Guaza,12.242200530211758,2,28.02962796,-16.67786089
Costa Calma,9.329765642394335,2,28.20516124,-14.19392849
La Orotava,9.236850343728065,1,28.40542612,-16.51959343
Agadir,6.790705323427108,2,27.8144236,-15.52751978
La Luz,4.392419442765696,4,28.38966547,-16.54598808
Arinaga,1.1018008496521117,2,27.86975719,-15.41048387
Costa Adeje,0.0,4,28.09543742,-16.71157351
Marcos Sanchez,0.0,1,28.27186062,-14.03054723
