city,total_margin,orders_count,lat,lon
Shanghai,67853.22064730628,4435,32.65843057126268,115.90780213297181
Beijing,57524.06273208943,3775,31.566992679584107,114.29233767669669
Seoul,42042.66169980868,2677,37.55152076689205,126.99454305487487
Shenzhen,38042.63758752432,2359,31.218298274565495,114.1455899509114
Dongguan,25739.459404479607,1753,30.34119191365659,116.77788524677695
Wuhan,24482.953215149784,1515,31.56687073219802,115.86471529036304
Tokyo,23303.381371272328,1547,35.69645521884292,139.72537425914672
Chengdu,22494.954544654414,1510,32.700213317298015,116.95406426569537
Tianjin,19878.240820539402,1258,30.812922885945948,115.59165693537362
Foshan,18714.552722872882,1212,32.18440384065181,114.42761385420792
Suzhou,18261.39857012149,1163,31.143801880773864,115.03834926233878
Wenzhou,17691.474247596005,1123,33.043514365761354,115.84602336740872
Busan,17178.32762531616,957,35.165760202486936,129.0737608553814
Zhengzhou,15735.08931617478,977,33.707551010327535,115.79544435220062
Guangzhou,15612.35245915332,936,31.51692496042735,114.478474028953
Handan,14540.66052043404,933,31.838741502486602,114.66038447920685
Nanjing,13865.267597220554,909,31.73692553249725,114.55399518833883
Hangzhou,13499.169295898475,929,32.373341164122714,114.26165779228202
Harbin,13404.311057385132,784,31.514764470331635,116.14516085663266
Shan Tou,12758.48249003768,743,35.66534805500673,117.3594430487214
Chongqing,11832.095503838782,837,30.568392316893668,115.9517218181601
Xi'an,11424.349921636509,796,31.387078582663317,114.05626904924623
Fuzhou,11408.780220659788,815,34.579179786208584,116.7213478206135
Hefei,11290.302744768358,692,29.93482687679191,117.64960069320809
Incheon Metropolitan City,10971.859541948585,687,37.47320399717613,126.68689120582242
Xiamen,10668.014421860815,708,29.2701108505226,113.67038986567796
Huizhou,9639.137931533987,581,30.956893558640274,116.9542610526678
Zhangzhou,9274.264527965346,700,32.62307774372857,114.85301361457144
Taiyuan,9241.104726204903,588,32.88349016469388,116.79949887823129
Shenyang,9073.36271722985,581,32.366257152667814,110.82508894605853
Baoding,9065.234302536386,642,31.762620861775698,113.36586166791277
Lan'Zhou,8634.376388984736,481,31.41453878043659,118.65076693555093
Changchun,8257.784650113945,556,32.41705345433453,120.14526699712232
Jinan,7957.25485542605,518,31.25880823222008,115.21831144169884
Guiyang,7532.2359374945745,510,32.82685078537254,115.6725077609804
Taizhou,7511.9987575832365,473,36.544870602621565,111.26157886317124
Qingdao,7373.960299932087,507,34.44455697928994,112.87378430919132
Daegu Metropolitan City,7288.736117922628,489,35.847236621554195,128.56987495623721
Xingtai,6905.432215739161,468,31.42513982897436,113.72953299401709
Urumqi,6694.120623144536,398,34.6555625468593,115.09398775276382
