city,total_margin,orders_count,lat,lon
New York,23398.239431719627,1492,40.73415257508713,-73.91937941732574
Los Angeles,12709.832792684327,763,34.09752660547837,-118.36058228519005
Houston,10983.154914281287,689,29.803810254194484,-95.45892241687953
Las Vegas,7053.243887051082,403,36.14563305672456,-115.15701249205955
Chicago,6623.367687069755,467,41.8606247856531,-87.68303334747324
null,4845.846391607496,296,35.77824419334459,-82.21391586199324
San Antonio,4511.799192550668,279,29.480353031792113,-98.52539535297491
Phoenix,4260.488130012136,262,33.49619192767175,-112.09070890458015
Philadelphia,3981.5607726811795,256,40.01263767679688,-75.13958440898438
San Diego,3866.1787775913044,269,32.81936393929368,-117.14060758401487
Dallas,3383.2607239079134,225,32.956790035333334,-95.14942831639999
Columbus,3318.5990278230156,220,38.91379187881819,-84.355102392
Charlotte,3008.049610836805,186,35.23170542618279,-80.80403430010753
Fort Worth,2863.340236415834,170,32.78594745241176,-97.34425529535295
Austin,2810.9944558930442,191,30.740133427434554,-97.59336042617801
Louisville,2733.5879076765395,159,38.27057518201258,-86.65510786786163
San Jose,2303.0354101189096,191,37.30424222141361,-121.83925622931936
El Paso,2257.315934414078,119,31.818236192436974,-106.42773348739496
Indianapolis,2249.1006678280733,174,39.78341753649425,-86.12331789971265
Memphis,2196.65586538496,110,35.12516373463636,-89.91735423863635
Riverside,2133.5011617373225,135,34.107083729925925,-116.69845935962964
Albuquerque,2126.1262035610816,124,35.117917539919354,-106.66311988225806
Long Beach,2120.220636362383,113,34.46390213734513,-113.83341741734513
Roseville,2104.6312167216333,90,40.39036719733333,-108.26777378999999
Raleigh,2092.6487406251276,146,35.816897064246575,-78.63140674575342
Columbia,2030.7179231862137,145,36.554806268068965,-83.0849934710345
Tucson,1947.0756835490654,115,32.21182248269565,-110.95920308869566
Lakewood,1797.6288197607385,81,39.63730969345679,-98.03560531765432
Bakersfield,1787.1752077350914,108,35.35590370898148,-118.98745238333333
Fresno,1743.9628144076462,98,36.627621799591836,-119.29380469061223
Jacksonville,1691.470985190968,152,30.705177401052634,-82.1547350563158
Milwaukee,1688.3984395911473,100,43.0562459289,-87.95816771060001
Nashville,1665.978700339529,103,36.12157286126213,-86.76809437475728
Orlando,1665.8232575173558,89,28.51444634831461,-81.38144415606742
Virginia Beach,1583.3770411207895,87,36.838871126781605,-76.10550004551725
Arlington,1534.171526511718,125,34.75303864464,-91.29652840624
Seattle,1510.009145539838,89,47.626825553483144,-122.30576908314606
Aurora,1469.4208574846002,100,40.253834596,-100.1660859174
Denver,1456.0557518303808,69,39.69843039115942,-104.99281508550725
Colorado Springs,1413.258061564775,116,38.865808672586205,-104.7725108137931
Gainesville,1408.542377226604,81,33.74505841580247,-83.22809666728395
San Francisco,1395.9242208059775,120,37.76387286091666,-122.43891171166666
Durham,1356.604565652742,93,36.39011094344086,-83.9821384216129
Atlanta,1354.7838663935215,64,33.76355058859375,-84.4077977521875
Boston,1336.1749813828792,88,42.304067447954544,-71.09091499840909
Plano,1327.3676078135902,92,33.89474315608696,-95.93218871347825
Pomona,1307.8670889326997,54,34.05577451833334,-117.75730455
Honolulu,1292.9315638985524,81,21.30888518641975,-157.8127535506173
Detroit,1281.3053849833136,78,42.388740824358976,-83.16516214333333
Glendale,1278.3771967023097,68,33.729036312058824,-113.60580809999999
Springfield,1269.2610365748706,79,39.29579427341773,-92.81144108481013
