city,total_margin,orders_count,lat,lon
Sydney,11700.799077492544,789,-33.855171106603294,151.05958885082381
Melbourne,9721.258790413302,667,-37.86587858757122,145.0540189802099
Perth,4461.804212755947,279,-32.024622434802865,115.97253688781362
Brisbane,4282.902682649842,320,-27.496255943468746,153.01262407
Adelaide,2572.2799541029135,180,-34.933076398388884,138.58598163666667
Gold Coast,1053.2043087070351,70,-28.00426719142857,153.38015124142856
Hervey Range,645.2564748102611,8,-19.43565923,146.5023743
Jeogla,543.9275897517666,15,-30.46460034,151.8993515
Central Coast,503.21993068673066,27,-33.34621518148148,151.4667328
Newcastle,500.8416826849067,52,-32.96643956846154,151.68936717115386
Canberra,498.0142741247718,44,-35.328163145,149.08003074318182
Brighton,459.2708407252318,18,-37.90842447,144.9956863
Toowoomba,457.1189045180799,24,-27.5738151,151.8784628
Wollongong,453.71861026326786,32,-34.429419975,150.86255654375
Somerville,407.8350002132356,1,-38.2161028,145.2226395
Kulnura,401.02153093084513,21,-33.31882435,151.2139917
Southern Lamington,386.02615215760363,16,-28.12803666,153.2247775
Truganina,350.1480750986377,22,-37.82797177,144.6964812
Sunshine Coast,334.31529638292176,17,-26.696881895882353,153.08176821764707
Geelong,333.82801095936185,25,-38.1752590952,144.336056608
Boyne Valley,307.47254783484254,16,-24.12722735,151.1442769
Dunk,296.09243767131676,2,-17.93782729,146.1278681
Onkaparinga Hills,285.19671779621024,7,-35.14065734,138.5543129
Welsby,281.7787166174125,14,-26.9845441,153.1333847
Cairns,281.0527345633168,10,-16.930720115,145.72519325000002
Cossack,277.37844310543454,12,-14.44062918,132.271049
Clonbinane,274.4628110938143,8,-37.28955374,145.1529063
Hobart,272.0958715449383,16,-42.845234999375,147.37322560625
Yilkari,270.59105661231,16,-30.75544146,121.4524008
Mackay,265.19677267385356,22,-21.1652514,149.1141218
Hanging Rock,261.48965529005176,14,-31.23519016,150.9730072
Mount Warning,255.88014804739808,12,-28.376310900000004,153.3073744
Cocoroc,255.6435728199013,18,-37.9133102,144.6296777
Hoddles Creek,252.05024689957233,5,-37.8137305,145.544737
Darwin,232.98332304818342,17,-12.38640697764706,130.86647247647056
Bulga Forest,230.77022336028102,5,-31.79629325,152.2610336
Cataract,230.70352041690896,15,-34.22591429,150.8177176
Rocherlea,227.78585784933716,7,-41.38468208,147.1548938
Yattalunga,224.23612011083134,10,-34.70818281,138.7613103
Pimlico,223.5579054911347,11,-28.84787615,153.5330101
Thornton,221.42787167237324,10,-27.713688049999995,152.3824251
Southern Moreton Bay Islands,212.66921039342913,6,-27.81112206,153.3802311
Mandurah,203.9501122679801,10,-32.563991137,115.71109487999999
Bendigo,200.72630316895462,13,-36.76948022846154,144.28218552307692
Lysterfield,200.1641807069506,12,-37.92094296,145.2931499
Wongawallan,198.52525512104,7,-27.91196947,153.2548568
Buaraba,196.93773483492114,7,-27.419158829999997,152.427279
Ashendon,196.91495203971326,12,-32.16064458,116.1739602
Woodvale,189.2416346379531,10,-36.64844809,144.189631
Ballarat,188.07342746129484,12,-37.57307261333333,143.857194325
Toolern Vale,185.4874911871055,9,-37.62797895,144.5849581
Kyeamba,185.37477078420426,13,-35.19266368,147.4069504
Rowville,183.07765535110977,9,-37.92434418,145.2439145
Sherlock,180.60694080345053,9,-21.04824079,117.04217280000002
Mulgrave,179.8417987927389,11,-19.93313854,147.2008221
Natte Yallock,177.00800005346537,1,-37.03521877,143.6735936
Ettrema,176.9783727221457,10,-34.98225551,150.4882483
Merrinee,176.63469690830436,8,-34.34843144,141.5759767
Gundaroo,175.99407424947682,11,-35.51038896,149.1555374
Pokolbin,175.85520716883863,9,-32.70951593,151.454475
East Arnhem,175.64946786680585,12,-12.84223088,133.1747451
Townsville,174.55033070392685,11,-19.293178978181817,146.77646695454544
Tatura,174.48193399959624,3,-36.43291318,145.1745501
Diamond Creek,174.42767864419645,7,-37.66794094,145.1566781
Toolara Forest,173.47911483271812,6,-26.16925393,152.5972716
Oakey,171.45943802467698,10,-27.3988594,151.7136737
Myocum,169.4503016905144,2,-28.64609513,153.5602377
Caniambo,165.9668347912547,13,-36.43716595,145.5375075
Launceston,162.59251206249326,14,-41.45564639999999,147.14584148571427
Currumbin Valley,149.90118965330802,13,-28.19357831,153.4125115
Reefton,145.73015773695454,6,-37.70509537,145.804685
Limeburners Creek,142.54711647877056,12,-31.391222009999996,152.880885
Royal National Park,141.40020765086888,7,-34.10574035,151.0521567
Lamb Range,140.86952998722427,13,-17.00407334,145.6989423
Pickering Brook,136.24513012195126,11,-32.01318392,116.1475304
Redland Bay,133.16913405744995,8,-27.62774814,153.2677244
Tweed Heads,127.57490446231921,11,-28.197977640909087,153.49854815454546
Deception Bay,126.13415640326978,2,-27.18288974,153.0159907
Nimbin,125.97363590215943,8,-28.72804483,153.2612412
Ballajura,124.29876251186931,7,-31.84003042,115.8960197
Coffs Harbour,122.38508430789228,12,-30.35624771,153.0871497
Newton Boyd,117.48438496497366,5,-29.68563039,151.9700222
Stawell,117.35100029408932,2,-37.05816873,142.7705338
Belair,116.29310978000149,7,-35.00685544,138.6425132
Wallis Lake,112.99882500398324,9,-32.25426499,152.4774506
Russell Island,112.92435341403652,6,-27.53317158,153.3491458
Balliang,111.38346748603664,7,-37.74226524,144.3954109
Woronora Dam,110.43703835037539,5,-34.19013359,150.9526717
Lang Lang,109.70172824338084,3,-38.30623329,145.5588244
Tongarra,106.87319745433254,3,-34.58223024,150.7483163
Granite Vale,105.52428616679865,7,-19.52760383,146.650267
Dubbo,105.52237652975587,10,-32.20132695,148.6281866
Jackadgery,105.15954329618934,9,-29.64784111,152.7443322
Temora,104.27214754248453,7,-34.42990866,147.590969
Houtman Abrolhos,101.82324723155767,4,-28.66288362,113.8470859
Wee Jasper,100.11536329503633,7,-34.91633908,148.7960123
Mitcham,97.99217968251526,5,-37.8181768,145.1990048
Ranken,97.81413441623803,8,-20.48070774,138.6948591
Jimboomba,97.71351235419294,6,-27.81052111,153.016286
Bucca,93.97520134068279,12,-24.85640653,152.2347541
Bothwell,93.67632168044125,5,-42.26918772,147.0278541
Wallangra,93.50125086589799,3,-29.648342690000003,151.1068064
Colo Heights,93.40044971561711,7,-33.30054557,150.7634036
Murrami,92.33199454862452,3,-34.49459478,146.3112123
Yadboro,92.09045325480551,13,-35.37599666,150.292686
Moormbool West,91.49461383070732,5,-36.84976289,144.7406652
Mount Gambier,91.04664199938168,8,-37.82842121,140.7803529
Teralba,91.02536956057705,5,-32.95402028,151.6092791
Trafalgar,88.55287226270421,2,-38.22359707,146.1668936
Mitchell Park,88.19821007606849,7,-37.51598402,143.7965325
Tomago,87.76585942876278,5,-32.82291595,151.6579123
Mulgoa,86.72758067170773,7,-33.86307724,150.6665885
Tyabb,84.83499440228753,6,-38.26514257,145.1844732
Patonga,84.78257986736648,3,-33.5142082,151.2743992
Wollangambe,84.27934124730169,7,-33.4596024,150.1941404
