category,margin
Accessories,63195.13228910175
Plus,20988.06805663507
Blazers & Jackets,47895.26493137801
Maternity,35506.185048179716
Swim,78524.26670546937
Outerwear & Coats,185429.66020815025
Suits & Sport Coats,99437.01749315599
Skirts,16887.151885574618
Active,64846.08453916251
Pants & Capris,23035.939222275552
Socks,12143.11668526635
Sleep & Lounge,72022.5324483314
Fashion Hoodies & Sweatshirts,78681.89690486822
Sweaters,105656.127260804
Dresses,59809.16531412619
Leggings,8957.139941559646
Shorts,67077.25181759206
Jeans,143972.91298981322
Jumpsuits & Rompers,4462.2378413445185
Underwear,27518.325708547734
Intimates,52440.229654230905
Clothing Sets,2018.5575324466186
Pants,57104.121570015166
Tops & Tees,54223.09536199026
Suits,13037.280271822096
Socks & Hosiery,9665.15605261563
