city,total_margin,margin_share,cumulative_share
Shanghai,67853.22064730628,0.024217623895603127,0.024217623895603127
Beijing,57524.06273208943,0.020531024215254063,0.044748648110857187
Seoul,42042.66169980868,0.015005527503379692,0.059754175614236876
Shenzhen,38042.63758752432,0.013577871179913898,0.07333204679415077
null,28819.578987039582,0.010286051540067306,0.08361809833421807
Dongguan,25739.459404479607,0.009186720117147135,0.0928048184513652
Wuhan,24482.953215149784,0.008738258068840586,0.10154307652020579
New York,23398.239431719627,0.008351110779575828,0.10989418729978162
Tokyo,23303.381371272328,0.00831725480620472,0.11821144210598634
Chengdu,22494.954544654414,0.008028717627757231,0.12624015973374358
Tianjin,19878.240820539402,0.007094781283858777,0.13333494101760235
Foshan,18714.552722872882,0.006679447119728774,0.14001438813733114
Suzhou,18261.39857012149,0.006517710996765544,0.14653209913409668
Wenzhou,17691.474247596005,0.006314298207214683,0.15284639734131136
Busan,17178.32762531616,0.006131150056204024,0.15897754739751538
Salvador,16329.193107692972,0.005828083817219403,0.1648056312147348
Zhengzhou,15735.08931617478,0.0056160410867390695,0.17042167230147387
Guangzhou,15612.35245915332,0.005572234838293998,0.17599390713976787
London,15266.964574600383,0.005448961782035126,0.181442868921803
São Paulo,14990.482953414585,0.005350282193180709,0.1867931511149837
Handan,14540.66052043404,0.005189735200749032,0.19198288631573274
Nanjing,13865.267597220554,0.004948679409438034,0.19693156572517076
Hangzhou,13499.169295898475,0.0048180145583719075,0.20174958028354267
Harbin,13404.311057385132,0.004784158521446905,0.20653373880498957
Shan Tou,12758.48249003768,0.00455365460142881,0.21108739340641838
Los Angeles,12709.832792684327,0.004536290944082868,0.21562368435050125
Brasília,12464.295461156207,0.004448655741353341,0.22007234009185458
Chongqing,11832.095503838782,0.004223016034835776,0.22429535612669035
Sydney,11700.799077492544,0.004176154773988371,0.22847151090067871
Xi'an,11424.349921636509,0.004077486772397438,0.23254899767307616
Fuzhou,11408.780220659788,0.004071929760382029,0.2366209274334582
Hefei,11290.302744768358,0.004029643735874024,0.24065057116933222
Houston,10983.154914281287,0.003920019011091242,0.24457059018042346
Incheon Metropolitan City,10971.859541948585,0.003915987557958957,0.24848657773838242
Xiamen,10668.014421860815,0.0038075416099169596,0.2522941193482994
Madrid,10370.00241256112,0.003701177568700598,0.25599529691699996
Melbourne,9828.773277175549,0.0035080064337556483,0.2595033033507556
Huizhou,9639.137931533987,0.0034403233166648405,0.26294362666742044
Zhangzhou,9274.264527965346,0.0033100956462191818,0.26625372231363964
Taiyuan,9241.104726204903,0.003298260517395138,0.26955198283103476
Shenyang,9073.36271722985,0.0032383913933344507,0.2727903742243692
Baoding,9065.234302536386,0.003235490265163439,0.27602586448953265
Lan'Zhou,8634.376388984736,0.003081711935950817,0.27910757642548345
Changchun,8257.784650113945,0.0029473018518433934,0.28205487827732684
Paris,8256.636505914968,0.002946892065482135,0.285001770342809
Manaus,8037.886831852033,0.002868817697261969,0.287870588040071
Jinan,7957.25485542605,0.0028400391829863742,0.29071062722305735
Guiyang,7532.2359374945745,0.0026883448609661665,0.2933989720840235
Taizhou,7511.9987575832365,0.0026811219700388824,0.2960800940540624
São Luís,7456.470147922239,0.0026613031468292114,0.2987413972008916
Qingdao,7373.960299932087,0.0026318543977905283,0.3013732515986821
Daegu Metropolitan City,7288.736117922628,0.002601436870560044,0.30397468846924214
Las Vegas,7053.243887051082,0.0025173868840866307,0.3064920753533288
Curitiba,6921.409298767176,0.0024703335468237355,0.30896240890015253
Xingtai,6905.43221573916,0.0024646311352944064,0.3114270400354469
Fortaleza,6799.577355118911,0.0024268502727566098,0.31385389030820354
Urumqi,6694.120623144536,0.002389211507081951,0.3162431018152855
Shijiazhuang,6633.541929833915,0.0023675902487733827,0.31861069206405884
Quanzhou,6633.330059159235,0.0023675146296021046,0.32097820669366095
Chicago,6623.367687069755,0.002363958940158487,0.32334216563381946
Dalian,6395.383086216351,0.0022825885163998893,0.32562475415021935
NanNing,6232.816803387974,0.0022245666707441346,0.32784932082096346
Jieyang,6156.557627597876,0.0021973488611802695,0.33004666968214375
Yokohama City,6143.207132054886,0.002192583910057896,0.33223925359220163
Yongin City,6049.460338772148,0.002159124561194544,0.3343983781533962
Rio de Janeiro,5954.58215696611,0.0021252614062704676,0.33652363955966663
Zhongshan,5952.6750915358825,0.002124580751868319,0.33864822031153496
Ningbo,5940.976394966641,0.0021204053475046072,0.3407686256590396
Berlin,5731.691274473261,0.0020457089913596335,0.34281433465039923
Nanchang,5682.21176333133,0.0020280491635733876,0.34484238381397264
Changsha,5470.995181547026,0.001952663445852555,0.3467950472598252
Baotou,5061.265776778293,0.0018064261334744811,0.34860147339329967
Hohhot,4979.642456186184,0.0017772937966398785,0.35037876718993954
Jilin,4912.6049408119425,0.0017533673076870872,0.35213213449762665
Tangshan,4764.737792681787,0.0017005917585566318,0.3538327262561833
Jinhua,4714.122747982563,0.001682526645297581,0.35551525290148084
Perth,4653.6720254129095,0.0016609510612730749,0.3571762039627539
Maoming,4651.296149709893,0.0016601030828919537,0.35883630704564584
San Antonio,4511.799192550668,0.0016103149547701783,0.360446622000416
Yueyang,4375.077935104076,0.0015615175069882072,0.3620081395074042
Jiangmen,4368.715332015856,0.0015592466180441372,0.3635673861254483
Bucheon City,4293.8572729975285,0.001532528883770566,0.3650999150092189
Brisbane,4282.902682649842,0.00152861905979405,0.36662853406901297
Phoenix,4260.488130012136,0.0015206190385660273,0.368149153107579
Barcelona,4239.435181485714,0.001513104990088409,0.3696622580976674
Hamburg,4238.441620779613,0.0015127503764198426,0.37117500847408724
Hwaseong City,4236.886157193354,0.0015121952129101967,0.3726872036869974
Linyi,4217.958080496467,0.0015054395565369345,0.37419264324353435
Fuyang,4155.026381345114,0.0014829784823739173,0.3756756217259083
Xianyang,4154.8389618753345,0.0014829115901293557,0.37715853331603766
Kunming,4140.287841758087,0.0014777181217737274,0.3786362514378114
Yinchuan,4080.925173189145,0.0014565308772018805,0.38009278231501326
Wuxi,4020.801742386166,0.001435072107513287,0.38152785442252657
Philadelphia,3981.5607726811795,0.0014210665373052965,0.38294892095983185
Namyangju City,3874.3538176392076,0.001382803096138744,0.3843317240559706
San Diego,3866.1787775913044,0.001379885326822521,0.38571160938279314
Duque de Caxias,3841.0635607037425,0.0013709214063064856,0.3870825307890996
Langfang,3815.9950088684786,0.0013619741411043,0.3884445049302039
Hengyang,3672.885483083337,0.001310896644144246,0.3897554015743481
Ansan City,3509.0301635400674,0.0012524147259075423,0.39100781630025566
Uberlândia,3493.496112368284,0.001246870437732796,0.39225468673798847
Haikou,3470.2242611698493,0.0012385644364214124,0.39349325117440986
Seongnam City,3456.7544852428337,0.0012337569127070394,0.3947270080871169
Jiaxing,3423.2473141349597,0.0012217978036189975,0.3959488058907359
Yichun,3406.6665480003926,0.0012158799303873774,0.39716468582112324
Dallas,3383.2607239079134,0.0012075261125518964,0.3983722119336751
Columbus,3318.5990278230156,0.001184447581845513,0.3995566595155206
Suwon City,3284.519864743689,0.0011722843219993525,0.40072894383751995
Ordos,3279.7529007976955,0.0011705829357001223,0.40189952677322005
Anyang City,3251.7809539014297,0.001160599414164974,0.403060126187385
Yulin,3186.485624384994,0.0011372947321280236,0.40419742091951305
Weifang,3165.4413236826317,0.0011297837701619755,0.40532720468967504
Paço do Lumiar,3161.704435965895,0.0011284500303571337,0.40645565472003214
Shaoxing,3156.060264539221,0.0011264355582435107,0.40758209027827563
München,3121.575691359369,0.0011141276026961832,0.4086962178809718
Charlotte,3008.049610836805,0.0010736087902623837,0.4097698266712342
Liuzhou,2970.8090062657793,0.0010603171742338117,0.410830143845468
Belém,2938.347769521751,0.0010487313715975707,0.41187887521706557
Köln,2922.5853533149034,0.0010431055772175575,0.4129219807942831
Qiqihar,2910.482710229761,0.0010387859995234906,0.4139607667938066
Osaka City,2907.4454341717883,0.0010377019594655923,0.4149984687532722
Chaozhou,2885.5806128428194,0.0010298981438996093,0.41602836689717176
Gwangju,2880.4423590276338,0.0010280642398168079,0.4170564311369886
Fort Worth,2863.340236415834,0.0010219602882390062,0.4180783914252276
Austin,2810.9944558930442,0.0010032774547179264,0.4190816688799455
Louisville,2733.5879076765395,0.0009756501342476401,0.4200573190141932
Xinxiang,2730.9034995317743,0.0009746920369574594,0.4210320110511506
Goyang City,2725.699137347466,0.0009728345380090867,0.4220048455891597
Montes Claros,2724.847607247683,0.0009725306167582513,0.4229773762059179
Zhanjiang,2707.501846434273,0.0009663397077998431,0.42394371591371777
Weihai,2703.9990736808727,0.0009650895264182616,0.42490880544013604
Zhangjiakou,2603.0196993595637,0.0009290487831020654,0.4258378542232381
Shaoyang,2602.585537171187,0.0009288938254377497,0.42676674804867587
Kawasaki City,2588.0805226490343,0.0009237168127190218,0.4276904648613949
Adelaide,2572.2799541029135,0.0009180774013139888,0.4286085422627089
Recife,2565.4626243313414,0.0009156442149920247,0.4295241864777009
Xuzhou,2536.380630659482,0.0009052645045205018,0.4304294509822214
Huaihua,2523.521060018505,0.0009006747703520842,0.4313301257525735
Gwangmyeong City,2521.8403852205884,0.0009000749174673062,0.4322302006700408
Gorzów Wielkopolski,2506.580280886279,0.0008946284041868694,0.43312482907422767
Changzhou,2477.5999307588118,0.000884284971508884,0.43400911404573655
Málaga,2475.3760874890654,0.0008834912553168491,0.4348926053010534
Xining,2456.6458310487596,0.0008768062033530329,0.4357694115044064
Sevilla,2452.3485031364585,0.0008752724357566923,0.4366446839401631
Ganzhou,2451.6282677396207,0.0008750153751516021,0.4375196993153147
Campinas,2432.628760570428,0.000868234224390653,0.43838793353970534
Bogatynia,2426.8239841824357,0.0008661624304504187,0.43925409597015574
Marseille,2426.168679905835,0.0008659285445367287,0.44012002451469245
Daejeon,2403.3051638261436,0.0008577682829004078,0.44097779279759286
Xiaogan,2397.456704625904,0.0008556808980433737,0.44183347369563625
Ulsan Metropolitan City,2362.837943063098,0.000843325049061386,0.4426767987446976
Goiânia,2335.706024438281,0.0008336413436373309,0.44351044008833496
San Jose,2303.0354101189096,0.000821980811646706,0.44433242089998165
Loudi,2301.9939724062688,0.0008216091101033626,0.445154030010085
El Paso,2257.315934414078,0.0008056629853628372,0.44595969299544785
Indianapolis,2249.1006678280733,0.0008027308587152883,0.44676242385416315
Belo Horizonte,2246.0464360388974,0.0008016407669546521,0.4475640646211178
Luoyang,2237.108429861638,0.0007984506859251521,0.44836251530704296
Toulouse,2224.2766018703423,0.0007938708534393584,0.4491563861604823
Huainan,2199.1356718647835,0.0007848977556047682,0.44994128391608706
Memphis,2196.65586538496,0.0007840126830895755,0.45072529659917665
Valencia,2188.927738142753,0.0007812544222850963,0.45150655102146176
Zunyi,2177.164412839909,0.0007770559511553811,0.45228360697261716
Wuhu,2150.145998344952,0.0007674127567093066,0.4530510197293265
Bijie,2148.702987929478,0.0007668977290778101,0.4538179174584043
Birmingham,2147.623129646837,0.0007665123147747,0.454584429773179
Datong,2144.701378890493,0.0007654695070750976,0.4553498992802541
Yiyang,2141.468434954364,0.0007643156308172896,0.4561142149110714
Shangrao,2137.1936420308894,0.0007627899062272895,0.4568770048172987
Riverside,2133.5011617373225,0.0007614720159615299,0.45763847683326025
Albuquerque,2126.1262035610816,0.0007588398054097806,0.45839731663867006
Porto Alegre,2120.4000184645424,0.000756796061639011,0.4591541127003091
Long Beach,2120.220636362383,0.0007567320380268338,0.45991084473833593
Liaoyang,2118.2450086839035,0.000756026912940379,0.4606668716512763
Roseville,2104.6312167216333,0.0007511679881850022,0.46141803963946126
Raleigh,2092.6487406251276,0.000746891299522697,0.462164930938984
Uijeongbuxi,2088.3646410371834,0.0007453622532731251,0.4629102931922571
Shiyan,2070.848324584368,0.0007391104709723907,0.46364940366322954
Cheonan City,2065.723496935912,0.000737281358848661,0.4643866850220782
Kaifeng,2056.6161082099056,0.0007340308231668851,0.46512071584524506
Taian,2040.9280380399887,0.0007284315637743545,0.4658491474090194
Columbia,2030.7179231862137,0.0007247874519827436,0.4665739348610021
Suqian,2025.5141603780517,0.0007229301669588675,0.467296865027961
Guilin,2018.8037200764456,0.0007205351307638592,0.46801740015872484
Anyang,1986.4525098772967,0.0007089885979140335,0.46872638875663886
Barra do Corda,1966.4003974657248,0.0007018317597851557,0.469428220516424
Dazhou,1966.387508654358,0.0007018271596146234,0.47013004767603866
Tacheng area,1960.6366880472156,0.0006997746231362331,0.4708298222991749
Dandong,1957.0557526568753,0.000698496544577096,0.471528318843752
Tucson,1947.0756835490652,0.000694934538856522,0.4722232533826085
Zhuzhou,1917.6429425831236,0.0006844296424915448,0.47290768302510006
Yingkou,1916.0073301112361,0.0006838458728884922,0.47359152889798856
Qinhuangdao,1912.277741941641,0.0006825147383791041,0.47427404363636766
City of Yantai,1909.452901726989,0.0006815065192079139,0.47495555015557556
Zaozhuang,1889.2427161091175,0.000674293262865993,0.47562984341844156
Shanwei,1871.525671383189,0.0006679698382500216,0.47629781325669157
Parauapebas,1866.0117631496505,0.0006660018586239874,0.47696381511531555
Mianyang,1819.9068078730184,0.0006495464500824121,0.47761336156539796
Nantong,1810.6773476023993,0.0006462523456101266,0.4782596139110081
Ananindeua,1807.9212185796862,0.000645268650283021,0.4789048825612911
Lakewood,1797.6288197607385,0.0006415951703626434,0.47954647773165376
Bakersfield,1787.1752077350914,0.0006378641515256219,0.4801843418831794
Dortmund,1784.5537445145385,0.0006369285200297863,0.48082127040320916
Antwerp,1784.4563633217338,0.0006368937635203774,0.48145816416672954
Jiaozuo,1753.8239726424054,0.00062596069786162,0.4820841248645912
Hengshui,1751.007000889092,0.0006249552870381473,0.48270908015162933
Fresno,1743.9628144076462,0.0006224411328501704,0.4833315212844795
Heze,1735.4104937773502,0.0006193887075933697,0.48395090999207285
Putian,1719.1429189347296,0.0006135826160700219,0.4845644926081429
Jacksonville,1691.470985190968,0.0006037061728079721,0.48516819878095085
Milwaukee,1688.3984395911473,0.0006026095446298445,0.48577080832558067
Gimhae City,1688.1661376596614,0.0006025266332992801,0.48637333495887997
Frankfurt am Main,1670.292133060715,0.0005961471878321953,0.48696948214671215
Nashville,1665.978700339529,0.0005946076722374434,0.4875640898189496
Orlando,1665.8232575173558,0.0005945521928398739,0.4881586420117895
Brighton,1658.0465527883396,0.0005917765941508535,0.4887504186059403
Boston,1652.5649250787892,0.0005898201358289171,0.48934023874176924
Suihua,1637.1813964538903,0.0005843295709467942,0.489924568312716
Paju City,1637.1101877802605,0.0005843041557217006,0.4905088724684377
