category,brand,complete_cnt,returned_cnt,avg_margin,avg_price,purchases,buyout_rate,buyout_smooth,expected_margin,log_purchases,margin_norm,buyout_norm,popularity_norm,boost,actual_score,rating,rating_boosted,price_1,price_2,product_1,product_2,product_name_1,product_name_2
Accessories,Oakley,26,6,77.18756307638179,126.89562511444092,26,0.8124999999746094,0.7892737541860348,60.92211768576722,3.295836866004329,0.20138615561914386,0.7764205410332582,0.6022795767868688,1.1,0.5377936831588211,4.33,4.763000000000001,83.81999969482422,109.0,14173,14121,Oakley Women's Unfaithful Rectangular Sunglasses,Oakley Women's Disclosure Oval Polarized Sunglasses
Accessories,Carrera,14,2,49.64963885667758,84.72437286376953,14,0.8749999999453125,0.8134422183005179,40.3871123693954,2.70805020110221,0.12817871482939042,0.8284942053427555,0.4948677362829437,1.1,0.5261701060946803,4.49,4.939000000000001,85.41999816894531,80.94999694824217,13885,14256,Carrera Topcar 1/S Aviator Sunglasses,Carrera Endurance T/S JO9 LF
Accessories,Coach,14,3,73.9434038877843,123.36294219073127,14,0.8235294117162629,0.783314728733832,57.92095735801594,2.70805020110221,0.19276180943324472,0.7635811529141014,0.4948677362829437,1.1,0.5259886292910404,4.29,4.719,130.0,119.0500030517578,14069,14238,Coach Classic Leather Turnlock Swingpack Crossbody Messenger Bag 45012 Black,Coach Julia Op Art Slim Zip Wallet 47379 (SV/Black)
Accessories,Tom Ford,6,2,148.21658885080478,243.00375366210938,6,0.74999999990625,0.7305276486563037,108.27631614503653,1.9459101490553132,0.3902113247658544,0.649845473442913,0.3555946452104427,1.0,0.5200283991043837,3.95,3.95,297.95001220703125,214.5,13758,14203,Tom Ford Marko FT0144 Sunglasses - 18V Shiny Rhodium (Blue Lens) - 58mm,Tom Ford Jennifer FT0008 Sunglasses - 38F Transparent Brown (Gradient Brown Lens) - 61mm
Accessories,boxed-gifts,22,2,7.43294873131282,12.157499939203262,22,0.9166666666284722,0.8573381669356901,6.372550640230696,3.1354942159291497,0.015948910649719854,0.9230729457603193,0.572978641287218,1.1,0.5164620210255215,4.77,5.247,14.989999771118164,6.989999771118164,14245,13789,100% Wool 'Hat-imals' Plush Knit Winter Hats (Wool Collection),Boxed Fancy 3 pc Ladies Cotton Handkerchiefs
Accessories,Costa Del Mar,6,1,109.95048426348373,197.52142551967071,6,0.8571428570204082,0.773499863283145,85.04668454572025,1.9459101490553132,0.2884838465623099,0.7424339254237257,0.3555946452104427,1.0,0.5154588859930178,4.23,4.23,188.94999694824216,218.94999694824216,13932,14182,Costa Del Mar Brine Polarized Sunglasses - Costa 400 Glass Lens,Costa Del Mar Caballito Polarized Sunglasses - Costa 580 Glass Lens
Accessories,Gucci,5,1,116.97584867361833,197.4633305867513,5,0.8333333331944445,0.7593436047383416,88.8248625991521,1.791759469228055,0.3071602342587132,0.7119326800053709,0.3274252272500432,1.0,0.509546457132042,4.14,4.14,176.97999572753906,239.94999694824216,14162,13843,Gucci 3164 sunglasses,Sunglasses Gucci 4225/S 0ADJ White
Accessories,180s,12,1,14.753163034418822,24.9499998826247,12,0.9230769230059171,0.8325868554701507,12.283289619065233,2.5649493574615367,0.03540913397256169,0.869743471517728,0.4687175598483206,1.1,0.4978339330196594,4.61,5.071000000000001,30.0,24.989999771118164,13615,13756,180s Women's Tahoe Earmuff,180s Women's Lush Ear Warmer
Accessories,HOBO,26,6,48.622115863650286,80.97093772888184,26,0.8124999999746094,0.7892737541860348,38.376159924171624,3.295836866004329,0.1254471244570728,0.7764205410332582,0.6022795767868688,1.1,0.49602721601968214,4.33,4.763000000000001,87.94000244140625,55.619998931884766,14026,14250,Hobo  Women's Belinda CP-4102BLK Wallet,Hobo  Women's Millie VI-3978BOR Wallet
Accessories,Pashmina,8,0,21.557313120096108,36.36500096321106,8,0.999999999875,0.8416387597674148,18.143470278315508,2.1972245773362196,0.053497440503865165,0.8892468137038357,0.4015197178579126,1.0,0.47137212710385046,4.67,4.67,29.989999771118164,45.9900016784668,14286,13915,Plain Colour Design 100% Pashmina Shawl Scarf Wrap Stole Throw Seconds,Karakoram Design 100% Pashmina Shawl Scarf Wrap Stole Throw
Accessories,HARVEYS,2,0,80.03000012785196,136.0,2,0.9999999995,0.7624581396511222,61.019525013761076,1.0986122886681096,0.20894255458676145,0.7186432944970529,0.20075985892895626,1.0,0.4637929245419072,4.16,4.16,148.0,124.0,14211,14096,HARVEYS Seat Belt Bag Treecycle Large Tote,HARVEYS Large Tote
Accessories,Luxury Lane,4,0,47.24657692254814,79.98999881744385,4,0.99999999975,0.7963926911295333,37.62682854200661,1.6094379124341003,0.12179036061455042,0.791759088442817,0.2941078773539874,1.0,0.4567747245286837,4.38,4.38,89.98999786376953,49.9900016784668,14085,13992,Luxury Lane Women's Cashmere Lined Lambskin Leather Long Gloves in Black Chocolate or Tobacco,Luxury Lane Women's Cashmere Lined Leather Gloves with Bow in Black Chocolate Tobacco or Red
Accessories,Kate Spade,10,2,60.10483873666532,97.67750040690105,10,0.8333333332638889,0.7795226216278848,46.853081464526596,2.3978952727983707,0.155973054738699,0.7554106332019108,0.43819018015630723,1.0,0.45569184397030493,4.27,4.27,129.99000549316406,92.69999694824216,13781,13925,Kate Spade New York Cobble Hill-Lacey  Wallet,Kate Spade Women's Ally Polarized Aviator Sunglasses
Accessories,DG Eyewear,21,4,5.666069207336567,9.187999992370605,21,0.8399999999664,0.804271362166099,4.557057199511969,3.091042453358316,0.011251798147624783,0.8087345680934755,0.5648555484773942,1.1,0.4509925014326052,4.43,4.873,5.550000190734863,9.949999809265137,14197,14045,DG Eyewear Sunglasses White Frame Smoke Lens 37323 with Free Micro Fiber Bag,D1067 Dg Eyewear Semi Rimless Aviator Metal Pilot Sunglasses
Accessories,Lodis,5,0,28.222039470944395,49.87999877929687,5,0.9999999998,0.8099665117208977,22.858906863930322,1.791759469228055,0.07121509982404454,0.8210054060211226,0.3274252272500432,1.0,0.44611025292258355,4.46,4.46,52.84999847412109,38.0,14264,13812,Lodis Audrey Passport Wallet with Ticket Flap,Lodis Audrey Zipper Pocket Card Case
Accessories,FoxRiver,7,0,8.333121664006743,13.950000354221888,7,0.9999999998571428,0.8323233926949097,6.9358520951255445,2.0794415416798357,0.01834195074035879,0.8691758114442142,0.3799961049632608,1.0,0.4437588810922865,4.61,4.61,13.3100004196167,15.550000190734863,13663,13832,Fox River Fingerless Ragg Glove,Fox River Ragg Wool Glove
Accessories,Ray-Ban,72,28,69.31895538190473,114.6312003326416,72,0.7199999999928,0.7195408879619406,49.87782270808987,4.290459441148391,0.18046807089730946,0.626173266324704,0.7840364075934468,1.1,0.44365273547210743,3.88,4.268,96.5,135.94000244140625,13654,14065,Ray-Ban Women's 4101 Jackie Ohh Sunglasses,RAY-BAN RB 3016 W0366 49/00 Tortoise / Gold Frame SUNGLASSES
Accessories,Maui Jim,8,4,122.44688993264067,204.4708340962728,8,0.6666666666111111,0.6886135307187939,84.31858520205124,2.1972245773362196,0.3217045741237199,0.559536809352065,0.4015197178579126,1.0,0.4406206917378924,3.68,3.68,219.0,214.0,14301,14281,Maui Jim Canoes Sunglasses - Polarized,Maui Jim Surf Rider Sunglasses
Accessories,Mundi,5,0,12.776017937637835,21.94199981689453,5,0.9999999998,0.8099665117208977,10.348146682632136,1.791759469228055,0.030153046714474958,0.8210054060211226,0.3274252272500432,1.0,0.42557922636779877,4.46,4.46,22.989999771118164,19.989999771118164,14168,13922,File Master Wallet W/ RFID Blocking Safe Keeper,MUNDI Big Fat Wallet
Accessories,Suncloud,7,1,26.99928218299031,45.15749931335449,7,0.874999999890625,0.7860832042118592,21.22368224982518,2.0794415416798357,0.06796449418492786,0.7695461435733743,0.3799961049632608,1.0,0.4187553188791511,4.31,4.31,69.98999786376953,39.9900016784668,14120,14035,Suncloud Polarized Optics Atlas Sunglasses,Suncloud Optics Star Sunglasses
Accessories,G&G,5,0,6.951963959567308,12.195999908447266,5,0.9999999998,0.8099665117208977,5.630857997940133,1.791759469228055,0.01467024985025634,0.8210054060211226,0.3274252272500432,1.0,0.41783782793568947,4.46,4.46,7.0,19.989999771118164,13969,14303,G&G Black Wayfarer 80's Blues Brothers Sunglasses Super Dark,G&G Bifocal Sun Readers Spring Hinge Sunglasses Eye Glasses
Accessories,Symphony Designs,5,0,4.535456009221315,7.503999996185303,5,0.9999999998,0.8099665117208977,3.6735674828525724,1.791759469228055,0.008246150441690862,0.8210054060211226,0.3274252272500432,1.0,0.4146257782314067,4.46,4.46,6.0,12.0,13973,13631,Cashmere Like Viscose Super Soft Faux Pashmina Wrap,Super Soft Faux Pashmina Scarf
Accessories,Rolf's,4,0,9.634564840055479,15.944999694824219,4,0.99999999975,0.7963926911295333,7.672897020833764,1.6094379124341003,0.02180173672465038,0.791759088442817,0.2941078773539874,1.0,0.40678041258373365,4.38,4.38,19.989999771118164,11.899999618530272,14241,14078,Rolfs Leather Classic Double Zip Around Clutch,Genuine Leather Mini Wallet by Rolfs
Accessories,Outdoor Research,7,1,17.428216259014846,29.196249961853027,7,0.874999999890625,0.7860832042118592,13.700028080583612,2.0794415416798357,0.04252055598776673,0.7695461435733743,0.3799961049632608,1.0,0.4060333497805705,4.31,4.31,21.0,39.950000762939446,14201,14152,Outdoor Research Women's PL 400 Gloves,Outdoor Research Wind Stopper Gorilla Balaclava
Accessories,D&G Dolce & Gabbana,4,1,51.3091676782466,79.8959991455078,4,0.79999999984,0.7432998450542311,38.13809638510226,1.6094379124341003,0.13259044379540208,0.6773646018645689,0.2941078773539874,1.0,0.4049775228299855,4.03,4.03,79.86000061035155,79.94999694824217,13956,14125,D&G Dolce & Gabbana Women's 0DD8085 Sunglasses,D&G Dolce & Gabbana Women's DD8063 Round Sunglasses
Accessories,Mud Pie,3,0,19.75600004196167,33.0,3,0.9999999996666666,0.7807305904471897,15.42411357763544,1.3862943611198906,0.048708789062338616,0.7580133373909259,0.25333073664217387,1.0,0.4033610632266323,4.27,4.27,33.0,33.0,13888,13954,Mud Pie Herringbone Infinity Scarf Convertible,Mud Pie Convertible Infinity Scarf
Accessories,SPY,6,2,59.81571405114918,100.45124816894531,6,0.74999999990625,0.7305276486563037,43.69703293848384,1.9459101490553132,0.15520443913329202,0.649845473442913,0.3555946452104427,1.0,0.4025249562881025,3.95,3.95,104.9499969482422,110.0,14126,14156,Spy Optic Cooper Xl Wrap Sunglasses,Spy Optic Dirty Mo Wrap Sunglasses
Accessories,AN1225,4,0,5.887914884134233,9.96999979019165,4,0.99999999975,0.7963926911295333,4.689092379717295,1.6094379124341003,0.011841557714070505,0.791759088442817,0.2941078773539874,1.0,0.4018003230784437,4.38,4.38,9.989999771118164,9.949999809265137,14111,13658,AN1225 Women's Leopard Pattern Fashion Scarf,AN1225 Women's Watercolor Pattern Fashion Scarf
Accessories,Greatlookz,8,1,4.862181057576802,8.63666656282213,8,0.8888888887901234,0.7973419829375509,3.876821085849685,2.1972245773362196,0.009114723702376178,0.79380444402306,0.4015197178579126,1.0,0.40145958386271813,4.38,4.38,12.949999809265137,11.949999809265137,13648,13822,22 Classic Adult Size Long Opera Length Satin Gloves in 41 Colors,Very Long Satin Gloves in 38 Assorted Colors
Accessories,Pashminas4u,4,0,4.641702417731182,7.979999840259552,4,0.99999999975,0.7963926911295333,3.6966178798793967,1.6094379124341003,0.008528598297892914,0.791759088442817,0.2941078773539874,1.0,0.4001438433703549,4.38,4.38,6.989999771118164,14.989999771118164,14140,13617,Striped Pashmina shawl wrap with sparkly glitter thread. Beautiful striped unique designs.,Pashmina Scarf Shawl Wrap Throw - Over 100 beatiful colours to choose from (Approx. 28 x Approx. 80)
Accessories,Scarfand,7,1,8.512625034200028,14.375,7,0.874999999890625,0.7860832042118592,6.691631563138045,2.0794415416798357,0.018819146560934957,0.7695461435733743,0.3799961049632608,1.0,0.3941826450671546,4.31,4.31,15.0,14.0,14277,14276,Scarfand's Colorful Leopard Print Infinity Scarf,Scarfand's Small Floral Scarf
Accessories,Woolrich,3,0,11.322720072240928,19.643333435058594,3,0.9999999996666666,0.7807305904471897,8.839993927468907,1.3862943611198906,0.026289566788315805,0.7580133373909259,0.25333073664217387,1.0,0.3921514520896209,4.27,4.27,11.989999771118164,34.95000076293945,14253,14187,Woolrich Women's Peruvian Pom Pom Hat,Woolrich Women's Icelandic Knit Hat
Accessories,ECHO,12,4,17.57345440466839,30.309374928474426,12,0.749999999953125,0.7365191413774409,12.943185549161969,2.5649493574615367,0.04290666036017754,0.6627548159313473,0.4687175598483206,1.1,0.38811381196033873,3.99,4.389,38.0,29.989999771118164,14234,14109,Echo Design Women's Sculptural Pleats Muffler,Echo Design Women's Touch Ruched Gloves
Accessories,Klondike Sterling,4,1,37.441538672210115,63.95999755859374,4,0.79999999984,0.7432998450542311,27.83028989364578,1.6094379124341003,0.09572442509137544,0.6773646018645689,0.2941078773539874,1.0,0.3865445134779722,4.03,4.03,74.94999694824217,74.94999694824217,14048,14123,Klondike Sterling Russian Rabbit Fur Trooper Hat Ear Flaps Brown 9H6621 Trapper,Klondike Sterling Russian Rabbit Fur Trooper Hat Ear Flaps Grey 9H6621 Trapper
Accessories,WARMEN,31,11,15.831418345368723,26.51666700272333,31,0.7380952380776644,0.7336441860733358,11.614628026374513,3.4657359027997265,0.038275592286660796,0.6565604025544103,0.6333268416054347,1.1,0.38215979716258913,3.97,4.367000000000001,49.9900016784668,49.9900016784668,13938,14239,WARMEN Super Long 22 Women Genuine Soft Nappa Leather Opera Gloves,WARMEN Women Opera Long Luxury Soft Nappa Leather Gloves with Buttons
Accessories,Pratt and Hart,8,2,21.296575480504888,36.15000076293945,8,0.79999999992,0.7574748837906733,16.13162103723474,2.1972245773362196,0.05280428966360044,0.7079063113103617,0.4015197178579126,1.0,0.3803553004869811,4.12,4.12,39.950000762939446,38.950000762939446,14030,13859,Women's Winter Leather Mittens with Finger Liners,Women's Women's Deerskin Leather Driving Gloves(Many colors)
Accessories,Allegra K,13,4,4.334306416491976,7.03235284019919,13,0.7647058823079584,0.7462776916967949,3.234596187606239,2.639057329615259,0.007711409813380196,0.6837807061604604,0.4822600135315297,1.1,0.3803206637856123,4.05,4.455,7.179999828338623,7.909999847412108,14336,13930,Allegra K Women Press Stud Button Dotted Gauze Coated Bow Tie Decoe Black Waist Belt,Allegra K Ladies 2.4 Width Black Textured Band Elastic Cinch Waist Belt
Accessories,Angelina,6,1,4.7148898757191215,8.132856913975306,6,0.8571428570204082,0.773499863283145,3.646966674263825,1.9459101490553132,0.008723161492070454,0.7424339254237257,0.3555946452104427,1.0,0.37557854345789804,4.23,4.23,6.989999771118164,14.989999771118164,13719,13998,Unisex Gloves Super Warm Double-Layered,Angelina Double-layer / Microfiber lined Cozy Pilot Cap / Ski Hats with Pompon.
