gender,category,orders_count,share
F,Intimates,12498,0.14172799745982786
F,Dresses,5276,0.05983012598800222
F,Fashion Hoodies & Sweatshirts,4942,0.05604254788337888
F,Swim,4907,0.05564564598618781
F,Maternity,4883,0.055373484685256796
F,Jeans,4810,0.05454566072825828
F,Shorts,4663,0.05287867276005579
F,Sleep & Lounge,4632,0.05252713107968656
F,Tops & Tees,4362,0.049465316444212606
F,Plus,4195,0.04757152739190093
F,Accessories,4067,0.04612000045360217
F,Sweaters,3966,0.0449746549788508
F,Active,3711,0.04208294115645873
F,Socks & Hosiery,3694,0.041890160234965924
F,Pants & Capris,3426,0.038851025707902886
F,Outerwear & Coats,3412,0.03869226494902646
F,Blazers & Jackets,3234,0.036673735300454736
F,Leggings,3211,0.03641291405372918
F,Skirts,2111,0.023938854427724164
F,Suits,1049,0.011895716861526599
F,Jumpsuits & Rompers,906,0.010274089110145946
F,Clothing Sets,228,0.002585532358844675
