date,category,margin
2019-01-04,Sleep & Lounge,0.0
2019-01-10,Sleep & Lounge,0.0
2019-01-16,Pants,20.154960872166754
2019-01-18,Accessories,0.0
2019-01-20,Blazers & Jackets,0.0
2019-01-21,Jeans,92.19077824197079
2019-01-23,Jeans,48.152000095695264
2019-01-25,Pants & Capris,0.0
2019-01-29,Outerwear & Coats,0.0
2019-02-02,Outerwear & Coats,0.0
2019-02-05,Blazers & Jackets,0.0
2019-02-06,Jeans,0.0
2019-02-08,Underwear,0.0
2019-02-11,Jeans,0.0
2019-02-12,Intimates,0.0
2019-02-12,Plus,0.0
2019-02-13,Swim,0.0
2019-02-14,Jeans,0.0
2019-02-19,Plus,0.0
2019-02-20,Sweaters,15.573229906946867
2019-02-21,Fashion Hoodies & Sweatshirts,32.47593909216434
2019-02-21,Dresses,0.0
2019-02-21,Swim,0.0
2019-02-22,Maternity,0.0
2019-02-22,Fashion Hoodies & Sweatshirts,37.251999957021326
2019-02-23,Suits & Sport Coats,88.31476437409759
2019-02-25,Dresses,0.0
2019-02-25,Intimates,27.218000072985888
2019-02-25,Shorts,0.0
2019-02-25,Outerwear & Coats,134.29125032387674
2019-03-01,Plus,0.0
2019-03-03,Jeans,19.388490812080207
2019-03-04,Outerwear & Coats,0.0
2019-03-05,Outerwear & Coats,99.71999974921346
2019-03-08,Jeans,0.0
2019-03-09,Outerwear & Coats,0.0
2019-03-09,Tops & Tees,10.550000052899122
2019-03-10,Tops & Tees,0.0
2019-03-11,Tops & Tees,0.0
2019-03-11,Suits,0.0
2019-03-11,Socks,0.0
2019-03-12,Jeans,0.0
2019-03-13,Dresses,0.0
2019-03-15,Fashion Hoodies & Sweatshirts,0.0
2019-03-15,Pants,0.0
2019-03-16,Pants & Capris,0.0
2019-03-16,Accessories,0.0
2019-03-17,Accessories,76.11000038683414
2019-03-18,Tops & Tees,0.0
2019-03-18,Suits & Sport Coats,0.0
2019-03-20,Intimates,0.0
2019-03-20,Dresses,0.0
2019-03-21,Tops & Tees,0.0
2019-03-22,Sweaters,0.0
2019-03-22,Tops & Tees,0.0
2019-03-23,Intimates,0.0
2019-03-25,Tops & Tees,0.0
2019-03-26,Active,0.0
2019-03-27,Tops & Tees,39.48815043748767
2019-03-28,Accessories,0.0
2019-03-28,Suits,0.0
2019-03-28,Tops & Tees,0.0
2019-03-28,Outerwear & Coats,0.0
2019-03-28,Blazers & Jackets,50.2928591804871
2019-03-29,Active,0.0
2019-03-29,Tops & Tees,0.0
2019-03-29,Dresses,0.0
2019-04-01,Sleep & Lounge,0.0
2019-04-01,Active,0.0
2019-04-01,Intimates,0.0
2019-04-03,Socks & Hosiery,0.0
2019-04-04,Jeans,0.0
2019-04-04,Fashion Hoodies & Sweatshirts,21.42855030422732
2019-04-04,Intimates,0.0
2019-04-05,Swim,0.0
2019-04-05,Intimates,0.0
2019-04-05,Sleep & Lounge,5.291999980807306
2019-04-05,Shorts,0.0
2019-04-07,Skirts,0.0
2019-04-08,Shorts,0.0
2019-04-08,Underwear,0.0
2019-04-09,Underwear,0.0
2019-04-09,Sleep & Lounge,31.773919218303554
2019-04-10,Socks,0.0
2019-04-11,Leggings,0.0
2019-04-11,Sleep & Lounge,0.0
2019-04-12,Plus,0.0
2019-04-12,Dresses,0.0
2019-04-12,Intimates,0.0
2019-04-13,Maternity,0.0
2019-04-13,Pants,17.983799732860927
2019-04-15,Socks & Hosiery,4.961789867508262
2019-04-15,Intimates,0.0
2019-04-15,Swim,0.0
2019-04-15,Tops & Tees,0.0
2019-04-16,Jeans,96.34800020232797
2019-04-17,Active,0.0
2019-04-17,Pants,34.374270897399185
2019-04-17,Sleep & Lounge,24.33200011588633
2019-04-18,Sleep & Lounge,13.337999992072582
2019-04-19,Blazers & Jackets,0.0
2019-04-20,Maternity,0.0
2019-04-20,Outerwear & Coats,0.0
2019-04-21,Shorts,0.0
2019-04-21,Active,0.0
2019-04-22,Sleep & Lounge,5.144039887538218
2019-04-22,Socks,4.923209897574932
2019-04-23,Tops & Tees,0.0
2019-04-23,Underwear,0.0
2019-04-23,Swim,0.0
2019-04-23,Leggings,6.558139878992588
2019-04-24,Sweaters,0.0
2019-04-26,Tops & Tees,0.0
2019-04-26,Fashion Hoodies & Sweatshirts,0.0
2019-04-26,Pants & Capris,7.296560279774072
2019-04-27,Shorts,0.0
2019-04-27,Blazers & Jackets,0.0
2019-04-28,Jeans,43.80600006133319
2019-04-28,Outerwear & Coats,0.0
2019-04-28,Sweaters,0.0
2019-04-29,Accessories,0.0
2019-05-01,Jeans,0.0
2019-05-01,Sweaters,0.0
2019-05-02,Underwear,0.0
2019-05-03,Suits & Sport Coats,0.0
2019-05-03,Accessories,18.598950509934873
2019-05-04,Socks & Hosiery,0.0
2019-05-04,Intimates,0.0
2019-05-06,Accessories,0.0
2019-05-06,Outerwear & Coats,0.0
2019-05-06,Pants,0.0
2019-05-06,Fashion Hoodies & Sweatshirts,51.6249998472631
2019-05-06,Sweaters,0.0
2019-05-08,Shorts,0.0
2019-05-08,Intimates,0.0
2019-05-09,Accessories,0.0
2019-05-09,Tops & Tees,0.0
2019-05-09,Sleep & Lounge,0.0
2019-05-09,Shorts,0.0
2019-05-10,Maternity,0.0
2019-05-11,Active,0.0
2019-05-13,Sweaters,0.0
2019-05-15,Fashion Hoodies & Sweatshirts,0.0
2019-05-16,Underwear,0.0
2019-05-16,Dresses,55.29000021517277
2019-05-17,Pants,0.0
2019-05-19,Sweaters,0.0
2019-05-19,Clothing Sets,0.0
2019-05-19,Fashion Hoodies & Sweatshirts,0.0
2019-05-21,Outerwear & Coats,0.0
2019-05-21,Maternity,0.0
2019-05-21,Accessories,0.0
2019-05-22,Pants,0.0
2019-05-23,Sleep & Lounge,0.0
2019-05-23,Tops & Tees,19.035000018775463
2019-05-23,Pants,0.0
2019-05-24,Socks,0.0
2019-05-24,Dresses,52.62600004673004
2019-05-25,Socks & Hosiery,0.0
2019-05-25,Leggings,0.0
2019-05-25,Swim,0.0
2019-05-25,Accessories,0.0
2019-05-27,Outerwear & Coats,0.0
2019-05-27,Accessories,45.122762172000265
2019-05-27,Skirts,24.106071189865773
2019-05-27,Swim,0.0
2019-05-28,Blazers & Jackets,0.0
2019-05-28,Sweaters,17.661239184418914
2019-05-28,Pants,0.0
2019-05-28,Jeans,19.95999999344349
2019-05-29,Intimates,0.0
2019-05-29,Outerwear & Coats,79.66000001877546
2019-05-29,Shorts,0.0
2019-05-30,Accessories,0.0
2019-05-30,Shorts,0.0
2019-05-31,Socks,2.6116398819988973
2019-05-31,Fashion Hoodies & Sweatshirts,25.108999904245138
2019-06-01,Plus,0.0
2019-06-01,Suits & Sport Coats,101.97600028663874
2019-06-02,Suits,20.82455969791353
2019-06-02,Intimates,0.0
2019-06-02,Swim,38.849999848753214
2019-06-02,Sleep & Lounge,18.803729922183305
2019-06-02,Fashion Hoodies & Sweatshirts,0.0
2019-06-04,Socks & Hosiery,0.0
2019-06-04,Fashion Hoodies & Sweatshirts,0.0
2019-06-05,Pants,19.362900642650573
2019-06-05,Swim,0.0
2019-06-06,Outerwear & Coats,0.0
2019-06-07,Socks,0.0
2019-06-07,Sleep & Lounge,0.0
2019-06-07,Jeans,33.15000005811453
2019-06-08,Swim,0.0
2019-06-08,Fashion Hoodies & Sweatshirts,0.0
2019-06-08,Sleep & Lounge,0.0
2019-06-09,Sweaters,0.0
2019-06-09,Fashion Hoodies & Sweatshirts,0.0
2019-06-10,Leggings,0.0
2019-06-10,Fashion Hoodies & Sweatshirts,0.0
2019-06-10,Pants,72.8189999833703
2019-06-11,Active,0.0
2019-06-12,Sweaters,0.0
2019-06-12,Socks & Hosiery,0.0
2019-06-12,Jeans,21.64349081848771
2019-06-13,Suits,53.68171067324744
2019-06-13,Active,0.0
2019-06-13,Intimates,0.0
2019-06-15,Tops & Tees,12.26590996180117
2019-06-15,Jeans,0.0
2019-06-16,Shorts,0.0
2019-06-16,Swim,0.0
2019-06-16,Accessories,0.0
2019-06-16,Jeans,0.0
2019-06-17,Leggings,6.890169868910611
2019-06-17,Sweaters,0.0
2019-06-17,Tops & Tees,7.560000016819686
2019-06-18,Sweaters,43.61000001989305
2019-06-18,Dresses,0.0
2019-06-18,Swim,0.0
2019-06-19,Tops & Tees,0.0
2019-06-19,Fashion Hoodies & Sweatshirts,16.055000028572977
2019-06-19,Sweaters,41.736000087112195
2019-06-19,Socks & Hosiery,0.0
2019-06-19,Intimates,0.0
2019-06-20,Jeans,0.0
2019-06-20,Underwear,0.0
2019-06-21,Accessories,5.514479884375333
2019-06-21,Shorts,0.0
2019-06-22,Dresses,5.275889818219365
2019-06-22,Jeans,0.0
2019-06-22,Sweaters,0.0
2019-06-22,Tops & Tees,0.0
2019-06-23,Accessories,0.0
2019-06-23,Shorts,19.964439149526353
2019-06-23,Active,0.0
2019-06-23,Blazers & Jackets,0.0
